Player ID,Player Name,Position
1,Zeus,TOP
2,Oner,JGL
3,Faker,MID
4,Skyyy,MID
5,Gumayusi,BOT
6,Keria,SPT
7,Doran,TOP
8,Peanut,JGL
9,Chovy,MID
10,Peyz,BOT
11,Delight,SPT
12,Kiin,TOP
13,Cuzz,JGL
14,Bdd,MID
15,Aiming,BOT
16,Lehends,SPT
17,Canna,TOP
18,Canyon,JGL
19,ShowMaker,MID
20,Deft,BOT
21,Kellin,SPT
22,Kingen,TOP
23,Clid,JGL
24,ZEKA,MID
25,Viper,BOT
26,Life,SPT
27,Burdol,TOP
28,Willer,JGL
29,Clozer,MID
30,Envyy,BOT
31,Kael,SPT
32,DuDu,TOP
33,YoungJae,JGL
34,BuLLDoG,MID
35,Taeyoon,BOT
36,Jun,SPT
37,Moham,SPT
38,Morgan,TOP
39,UmTi,JGL
40,Raptor,JGL
41,Karis,MID
42,Hena,BOT
43,Effort,SPT
44,Rascal,TOP
45,Croco,JGL
46,Juhan,JGL
47,FATE,MID
48,deokdam,BOT
49,Pleata,BOT
50,BeryL,SPT
51,DnDn,TOP
52,Sylvie,JGL
53,FIESTA,MID
54,Callme,MID
55,vital,BOT
56,Peter,SPT
